id,period,date,source,source_type,title,url,country_a,country_b,summary
15,past,2023-03-15,Reuters,news,"South Korea's Yoon seeks friend in Tokyo amid regional tensions","https://www.reuters.com/world/asia-pacific/south-koreas-yoon-seeks-friend-tokyo-amid-regional-tensions-2023-03-15/",South Korea,Japan,"한국과 일본이 정상회담을 통해 무역 갈등을 완화하고 안보 협력 분위기를 만든 기사다. summit, security cooperation, trade 키워드가 포함된다."
16,recent,2025-01-10,Reuters,news,"Japan foreign minister to visit South Korea to shore up security cooperation","https://www.reuters.com/world/asia-pacific/japan-foreign-minister-visit-skorea-shore-up-security-cooperation-2025-01-10/",South Korea,Japan,"일본 외무상이 한국을 방문해 안보 협력을 강화하려 한 기사다. visit, shore up security, security cooperation 키워드가 포함된다."
17,recent,2026-05-31,Reuters,news,"South Korea, Japan discuss military logistics support deal, Seoul says","https://www.reuters.com/world/asia-pacific/south-korea-japan-discuss-military-logistics-support-deal-seoul-says-2026-05-31/",South Korea,Japan,"한국과 일본이 군수지원협정 가능성을 논의한 기사다. military logistics, security cooperation, defense 키워드가 포함된다."
18,recent,2026-05-19,Reuters,news,"South Korea, Japan agree to boost energy cooperation, strengthen security ties","https://www.reuters.com/business/energy/south-korea-japan-agree-boost-energy-cooperation-strengthen-security-ties-2026-05-19/",South Korea,Japan,"한국과 일본이 에너지 공급과 안보 협력을 강화하기로 한 기사다. energy cooperation, boost, strengthen 키워드가 포함된다."
19,past,2021-02-11,Reuters,news,"China will eat our lunch, Biden warns after clashing with Xi on most fronts","https://www.reuters.com/world/china/china-will-eat-our-lunch-biden-warns-after-clashing-with-xi-most-fronts-2021-02-11/",United States,China,"바이든과 시진핑의 첫 통화에서 인권, 홍콩, 신장, 무역, 대만 문제를 두고 입장 차이가 드러난 기사다. Biden, Xi, human rights, Taiwan 키워드가 포함된다."
20,past,2021-03-22,Reuters,news,"West sanctions China over Xinjiang abuses, Beijing hits back at EU","https://www.reuters.com/world/china/west-sanctions-china-over-xinjiang-abuses-beijing-hits-back-eu-2021-03-22/",United States,China,"미국·EU·영국·캐나다가 신장 인권 문제로 중국 관리들을 제재하고 중국도 맞대응한 기사다. sanctions, Xinjiang, human rights 키워드가 포함된다."
21,past,2022-09-14,Reuters,news,"How could the US sanction China to deter Taiwan attack?","https://www.reuters.com/world/how-could-us-sanction-china-deter-taiwan-attack-2022-09-14/",United States,China,"미국 의회가 대만 문제와 관련해 중국에 부과할 수 있는 제재 방안을 검토한 기사다. sanctions, Taiwan, security 키워드가 포함된다."
22,recent,2025-07-29,Reuters,news,"US-China tariff truce holds for now, US says Trump has final say","https://www.reuters.com/world/china/us-china-tariff-truce-holds-now-us-says-trump-has-final-say-2025-07-29/",United States,China,"미국과 중국이 관세 휴전 연장을 모색한 기사다. tariff, truce, Trump 키워드가 포함된다."
23,recent,2025-11-26,Reuters,news,"US extends tariff exclusions related to China tech transfer probe","https://www.reuters.com/world/china/us-extends-tariff-exclusions-related-china-tech-transfer-probe-2025-11-26/",United States,China,"미국이 일부 중국산 산업·의료 제품에 대한 관세 제외를 연장한 기사다. tariff exclusions, tariff, technology 키워드가 포함된다."
24,recent,2026-06-17,Reuters,news,"US holds off blacklisting China's DeepSeek and more than 100 firms deemed security risks","https://www.reuters.com/world/china/us-holds-off-blacklisting-chinas-deepseek-more-than-100-firms-deemed-security-2026-06-17/",United States,China,"미국이 DeepSeek 등 중국 기업 블랙리스트 등재를 보류했지만 안보 우려가 핵심 배경으로 나타난 기사다. blacklist, security risks, AI 키워드가 포함된다."
25,past,2021-01-27,Reuters,news,"Suga says he and Biden agree to strengthen US-Japan alliance","https://www.reuters.com/world/china/suga-says-he-biden-agree-strengthen-us-japan-alliance-2021-01-27/",United States,Japan,"스가 총리와 바이든 대통령이 통화에서 미일동맹 강화를 확인한 기사다. strengthen, alliance, Biden 키워드가 포함된다."
26,past,2021-04-16,Reuters,news,"Biden to welcome Japan's Suga as first guest, key ally in China strategy","https://www.reuters.com/world/china/biden-welcome-japans-suga-first-guest-key-ally-china-strategy-2021-04-16/",United States,Japan,"바이든과 스가가 중국 견제를 중심으로 미일 공조를 강조한 기사다. alliance, China strategy, summit 키워드가 포함된다."
27,past,2022-01-06,Reuters,news,"US, Japan launch new defense research and development agreement","https://www.reuters.com/world/asia-pacific/us-japan-launch-new-defense-research-development-agreement-2022-01-06/",United States,Japan,"미국과 일본이 중국 견제를 위해 방위협력을 강화하고 연구개발 협정을 추진한 기사다. defense research, agreement, security cooperation 키워드가 포함된다."
28,recent,2025-07-23,Reuters,news,"Japan trade deal breaks US tariff template","https://www.reuters.com/commentary/breakingviews/japan-trade-deal-breaks-us-tariff-template-2025-07-23/",United States,Japan,"미국과 일본의 무역 합의가 일본 자동차 관세 부담을 낮추는 방향으로 정리된 기사다. trade deal, tariff, autos 키워드가 포함된다."
29,recent,2026-03-19,Reuters,news,"US, Japan to focus rare earths cooperation on select group of minerals first","https://www.reuters.com/business/aerospace-defense/us-japan-focus-rare-earths-cooperation-select-group-minerals-first-2026-03-19/",United States,Japan,"미국과 일본이 희토류·핵심광물 공급망 협력을 추진한 기사다. rare earths, critical minerals, cooperation 키워드가 포함된다."
30,recent,2026-03-19,Reuters,news,"Japan, US announce energy projects and critical minerals action plan","https://www.reuters.com/business/energy/japan-us-announce-energy-projects-critical-minerals-action-plan-2026-03-19/",United States,Japan,"미국과 일본이 에너지 프로젝트와 핵심광물 협력 계획을 발표한 기사다. energy cooperation, critical minerals, agreement 키워드가 포함된다."
31,past,2021-10-05,Reuters,news,"Biden promised US commitment to defending Senkaku islands, Japan PM Kishida says","https://www.reuters.com/world/asia-pacific/biden-promised-us-commitment-defending-senkaku-islands-japan-pm-kishida-2021-10-05/",China,Japan,"일본이 중국의 대만·센카쿠 관련 강경 태도에 대응해 안보 우려를 드러낸 기사다. Senkaku, East China Sea, security 키워드가 포함된다."
32,past,2022-11-17,Reuters,news,"Japan PM says conveyed concerns to China's Xi about peace in Taiwan Strait","https://www.reuters.com/world/asia-pacific/japan-pm-says-conveyed-concerns-chinas-xi-about-peace-taiwan-strait-2022-11-17/",China,Japan,"시진핑과 기시다 회담에서 대만해협과 동중국해 안보 우려가 제기된 기사다. Taiwan Strait, Xi, Kishida 키워드가 포함된다."
33,past,2022-05-05,Reuters,news,"Peace, stability in Taiwan Strait is critical, Japanese PM says","https://www.reuters.com/world/asia-pacific/peace-stability-taiwan-strait-is-critical-japanese-pm-2022-05-05/",China,Japan,"일본 총리가 대만해협 안정의 중요성을 말하자 중국이 일본의 군사력 강화 명분이라고 비판한 기사다. Taiwan Strait, security, Japan 키워드가 포함된다."
34,recent,2025-11-19,Reuters,news,"China to suspend imports of Japanese seafood amid diplomatic dispute, Kyodo reports","https://www.reuters.com/world/asia-pacific/china-suspend-imports-japanese-seafood-amid-diplomatic-dispute-kyodo-reports-2025-11-19/",China,Japan,"일본 총리의 대만 관련 발언 이후 중국이 일본산 수산물 수입 제한을 시사하며 외교 갈등이 경제 문제로 번진 기사다. suspend imports, seafood, diplomatic dispute 키워드가 포함된다."
35,recent,2025-11-20,Reuters,news,"China says trade cooperation with Japan has taken a great hit","https://www.reuters.com/world/china/china-says-trade-cooperation-with-japan-taken-great-hit-2025-11-20/",China,Japan,"중국이 일본과의 무역 협력이 큰 타격을 받았다고 밝힌 기사다. trade cooperation, great hit, diplomatic dispute 키워드가 포함된다."
36,recent,2026-02-20,Reuters,news,"Japan PM Takaichi warns of China coercion, vows security overhaul","https://www.reuters.com/world/china/japan-pm-takaichi-warns-china-coercion-vows-security-overhaul-2026-02-20/",China,Japan,"일본 총리가 중국의 강압을 경고하고 안보 전략 개편을 예고한 기사다. coercion, security overhaul, China 키워드가 포함된다."
